,wage,educ,educ_parent,born,state,iq,dist_to_unitown
99,915.76,17,12,1981-10-28,34,123.0,76
100,290.56,14,9,1977-05-10,34,115.0,70
101,280.63,7,10,1980-12-02,18,91.0,74
102,672.7,13,12,1975-10-23,39,117.0,81
103,282.22,14,11,1975-01-29,36,121.0,88
104,558.98,12,14,1979-10-13,21,113.0,81
105,157.82,8,11,1974-11-07,36,112.0,89
106,227.99,10,9,1980-02-14,1,98.0,63
107,426.01,12,9,1978-07-24,20,111.0,78
108,434.02,9,5,1983-04-15,39,77.0,71
109,224.61,13,7,1983-03-16,12,109.0,76
110,274.97,10,8,1980-05-20,26,102.0,81
111,1960.87,17,8,1978-03-23,20,104.0,67
112,526.35,15,8,1976-09-29,34,111.0,80
113,567.5,15,8,1980-03-27,12,87.0,80
114,835.44,16,5,1981-04-26,39,113.0,73
115,1131.0,14,11,1977-05-08,22,106.0,75
116,557.62,11,10,1980-02-07,27,96.0,90
117,347.31,7,8,1976-06-01,56,103.0,74
118,1288.04,19,9,1979-04-18,42,99.0,82
119,167.96,8,5,1977-10-09,13,79.0,80
120,710.01,14,8,1983-02-27,42,120.0,84
121,229.65,9,7,1978-04-14,6,96.0,75
122,587.68,12,5,1974-10-14,34,98.0,91
123,292.82,11,18,1982-01-17,42,129.0,87
124,470.92,16,10,1976-02-24,34,117.0,74
125,1043.32,15,16,1978-07-04,26,98.0,87
126,446.66,16,15,1979-12-30,25,124.0,83
127,234.94,10,8,1976-07-22,10,94.0,90
128,396.28,13,12,1980-04-18,19,95.0,88
129,121.03,10,12,1980-06-24,55,89.0,83
130,721.64,10,8,1983-10-02,12,118.0,89
131,232.11,13,12,1975-10-12,6,105.0,80
132,501.63,16,2,1982-05-15,12,78.0,73
133,1043.89,19,10,1982-05-11,36,113.0,76
134,135.82,12,8,1978-05-06,6,94.0,89
135,652.66,10,17,1975-11-14,40,96.0,73
136,1270.35,16,4,1982-09-16,48,122.0,79
137,2025.07,13,11,1976-03-01,36,95.0,77
138,1581.18,17,7,1974-05-06,6,120.0,84
139,1242.93,14,10,1980-06-11,26,91.0,84
140,581.63,11,10,1977-03-10,24,119.0,80
141,330.33,9,12,1981-03-16,12,100.0,93
142,216.11,14,10,1974-01-02,39,120.0,84
143,1389.68,20,11,1976-04-13,6,109.0,100
144,220.12,11,11,1977-04-06,19,78.0,60
145,212.93,10,8,1981-06-21,51,74.0,79
146,140.74,5,10,1981-02-17,6,99.0,87
147,627.7,13,12,1983-07-10,39,116.0,81
148,118.61,9,10,1982-03-06,12,98.0,83
149,938.44,9,10,1975-04-07,34,117.0,80
150,95.14,8,13,1981-06-07,41,109.0,80
151,1898.11,16,12,1976-08-02,48,88.0,79
152,1185.31,16,7,1979-09-25,42,104.0,82
153,1027.31,22,16,1982-09-17,6,104.0,98
154,701.59,18,16,1983-09-12,42,84.0,86
155,2173.38,14,6,1979-03-08,17,105.0,63
156,367.39,14,7,1980-09-25,20,94.0,60
157,1193.55,14,15,1983-11-09,36,114.0,71
158,559.19,8,11,1981-07-01,34,131.0,73
159,848.9,16,9,1981-06-22,36,96.0,89
160,581.84,9,8,1974-05-01,36,106.0,90
161,665.85,15,10,1981-12-06,18,80.0,86
162,413.26,14,11,1977-11-13,36,112.0,79
163,611.07,17,17,1983-07-12,6,99.0,80
164,737.4,10,6,1974-05-14,12,124.0,81
165,884.53,16,7,1980-09-03,13,96.0,79
166,723.08,13,11,1978-04-28,48,104.0,78
167,465.4,9,8,1974-03-15,13,91.0,68
168,172.44,9,9,1975-10-07,6,92.0,76
169,598.74,12,11,1977-11-28,8,108.0,68
170,369.93,16,10,1975-03-04,40,88.0,84
171,894.83,15,12,1983-03-08,42,119.0,80
172,154.72,10,7,1981-06-26,26,97.0,80
173,228.7,14,12,1978-12-22,36,124.0,81
174,488.67,10,13,1974-05-19,17,137.0,84
175,679.27,16,10,1982-03-27,17,95.0,69
176,407.42,13,13,1975-09-24,26,110.0,77
177,271.0,11,8,1974-02-01,48,126.0,70
178,1419.98,10,7,1976-05-26,12,131.0,78
179,739.48,18,14,1978-05-26,34,81.0,81
180,488.28,10,6,1982-12-10,21,93.0,72
181,248.21,9,10,1980-09-20,29,98.0,78
182,996.94,17,11,1979-03-18,36,96.0,89
183,751.31,15,7,1982-01-11,48,105.0,78
184,364.72,8,9,1974-04-15,39,88.0,78
185,72.05,4,11,1983-05-16,26,69.0,80
186,953.29,20,12,1981-07-17,12,110.0,78
187,135.27,10,8,1982-09-02,31,78.0,84
188,1153.66,16,12,1978-02-07,39,134.0,83
189,564.75,20,16,1980-10-07,6,122.0,82
190,92.32,7,7,1978-02-19,12,86.0,81
191,379.42,11,7,1975-04-29,29,107.0,78
192,1218.41,15,11,1974-05-18,25,118.0,87
193,533.88,10,9,1983-12-14,39,98.0,70
194,610.56,10,13,1975-11-24,45,118.0,83
195,473.25,14,15,1981-08-24,8,82.0,71
196,343.46,12,11,1979-05-03,1,114.0,79
197,1278.38,14,12,1983-02-04,36,107.0,75
198,800.94,12,6,1977-03-20,34,99.0,73
199,1596.33,11,6,1976-04-05,6,146.0,77
200,212.14,12,11,1974-08-25,51,106.0,80
201,2802.74,20,17,1976-06-05,51,98.0,75
202,260.61,16,12,1981-09-05,6,104.0,87
203,786.93,14,9,1978-10-07,42,131.0,82
204,958.6,14,10,1974-02-28,48,78.0,88
205,1450.62,18,12,1977-12-19,29,81.0,84
206,808.29,15,16,1979-02-13,29,101.0,75
207,128.33,14,11,1980-01-07,24,95.0,86
208,1430.65,16,7,1978-06-15,9,106.0,91
209,387.63,10,9,1979-05-08,48,87.0,78
210,2962.09,21,11,1982-05-17,53,112.0,80
211,324.89,12,12,1974-06-23,34,93.0,84
212,2492.22,17,13,1975-11-26,36,97.0,83
213,2284.09,22,14,1975-08-21,17,115.0,71
214,540.44,14,7,1974-01-18,18,84.0,78
215,202.23,10,9,1980-06-11,51,123.0,88
216,297.94,11,7,1974-10-03,33,116.0,66
217,2223.66,19,7,1974-05-16,55,102.0,81
218,304.0,9,9,1976-07-08,8,101.0,96
219,655.42,13,12,1977-01-23,47,117.0,95
220,449.6,12,11,1976-10-09,4,85.0,81
221,177.82,13,8,1979-08-22,40,98.0,74
222,516.63,13,10,1977-09-22,1,101.0,83
223,1498.97,16,6,1977-12-25,51,101.0,67
224,166.61,7,9,1980-04-14,55,114.0,75
225,711.51,12,11,1976-02-21,36,105.0,85
226,1005.97,18,10,1974-02-14,53,92.0,87
227,517.15,14,8,1977-05-11,10,91.0,87
228,154.2,8,10,1983-07-13,40,72.0,85
229,364.67,14,12,1980-11-26,42,102.0,110
230,414.83,12,8,1982-03-31,48,95.0,66
231,57.5,9,9,1982-04-18,1,97.0,84
232,543.94,7,8,1976-07-21,34,129.0,61
233,184.83,9,9,1978-08-29,28,106.0,74
234,500.74,15,5,1982-03-21,47,90.0,89
235,327.54,8,12,1983-12-09,6,107.0,76
236,64.88,12,10,1978-12-19,48,91.0,64
237,357.39,10,11,1983-03-19,24,83.0,87
238,365.88,8,11,1980-11-22,18,67.0,73
239,237.22,10,15,1983-08-01,19,87.0,78
240,44.58,5,8,1977-09-06,35,75.0,88
241,271.4,12,17,1976-10-13,48,116.0,67
242,612.44,15,11,1980-01-15,33,112.0,86
243,1452.53,12,7,1974-08-27,45,121.0,73
244,244.2,11,7,1983-11-02,37,98.0,92
245,152.74,8,15,1983-10-06,18,75.0,81
246,1450.61,22,8,1980-06-10,34,86.0,91
247,145.83,8,12,1981-08-10,32,97.0,77
248,838.5,12,12,1977-08-01,29,79.0,73
249,250.68,15,13,1974-04-16,53,105.0,88
250,363.03,10,10,1976-11-27,41,97.0,90
251,1056.35,18,11,1975-02-02,4,85.0,77
252,117.34,10,12,1976-01-10,34,80.0,84
253,237.37,14,8,1975-05-10,18,107.0,80
254,340.72,11,12,1981-02-21,28,110.0,76
255,804.66,12,7,1980-04-16,39,98.0,76
256,1048.51,16,7,1975-06-26,39,88.0,74
257,1073.38,16,10,1979-12-06,48,98.0,88
258,90.59,6,14,1979-08-27,48,80.0,87
259,369.66,13,9,1974-10-24,40,93.0,74
260,414.39,10,9,1979-09-23,28,112.0,74
261,807.72,10,8,1982-03-11,21,121.0,89
262,291.6,11,12,1974-05-31,47,98.0,80
263,672.14,16,8,1983-09-23,25,79.0,63
264,75.6,7,14,1980-07-22,39,86.0,59
265,134.28,10,11,1975-12-07,26,103.0,81
266,367.0,9,12,1975-06-19,25,103.0,63
267,1133.72,13,11,1975-06-01,42,94.0,71
268,1300.88,19,12,1975-04-24,17,77.0,83
269,713.32,18,14,1978-03-09,36,84.0,78
270,675.63,10,9,1979-09-20,6,101.0,63
271,690.84,15,14,1979-08-09,36,102.0,88
272,567.39,17,14,1974-11-13,13,96.0,93
273,164.28,11,7,1976-07-29,27,70.0,95
274,883.84,11,9,1982-04-11,42,105.0,91
275,175.31,13,13,1977-06-26,36,79.0,90
276,330.1,13,9,1983-02-22,39,98.0,84
277,913.73,16,17,1979-12-13,17,78.0,94
278,1009.43,14,14,1982-10-18,34,109.0,80
279,654.19,14,13,1976-07-11,48,96.0,75
280,1066.3,19,11,1982-06-29,9,99.0,101
281,215.19,12,8,1975-06-01,29,85.0,81
282,806.41,14,8,1980-06-23,25,107.0,87
283,317.35,16,12,1982-12-10,26,87.0,83
284,1803.41,21,14,1978-09-16,6,115.0,79
285,555.1,13,10,1978-10-29,48,117.0,95
286,501.99,13,14,1982-06-28,42,120.0,87
287,138.95,12,15,1979-08-11,22,97.0,79
288,275.43,10,8,1979-02-23,39,87.0,78
289,135.33,7,9,1974-03-29,26,92.0,84
290,12712.17,24,11,1976-11-02,22,151.0,92
291,273.3,11,6,1977-05-27,6,102.0,75
292,156.56,11,12,1977-07-05,1,58.0,90
293,362.28,10,11,1982-05-26,36,111.0,81
294,94.97,4,10,1978-10-02,17,76.0,67
295,530.42,13,12,1980-05-28,53,93.0,78
296,442.45,7,6,1975-01-26,17,122.0,72
297,412.95,13,9,1982-08-15,41,70.0,88
298,150.44,7,7,1975-06-09,37,90.0,91
299,256.16,14,10,1976-07-17,17,90.0,85
300,1504.67,18,8,1974-05-24,6,104.0,84
301,813.3,9,11,1976-06-02,36,107.0,80
302,219.94,8,10,1983-11-29,36,101.0,73
303,3450.43,18,10,1977-02-04,19,90.0,66
304,652.89,13,10,1983-09-07,17,86.0,64
305,257.4,13,9,1977-01-24,13,73.0,74
306,1714.05,18,7,1980-03-07,39,128.0,84
307,726.14,14,10,1974-01-09,6,98.0,73
308,231.76,10,10,1980-11-21,27,92.0,95
309,522.15,14,2,1983-11-28,21,114.0,73
310,910.96,13,15,1977-04-25,8,106.0,77
311,550.16,15,12,1982-07-13,29,105.0,76
312,1031.92,16,10,1978-06-16,2,89.0,84
313,795.93,12,9,1982-04-02,36,115.0,68
314,1936.52,11,12,1976-12-05,47,116.0,77
315,407.88,6,7,1977-06-11,17,100.0,85
316,1612.89,22,9,1982-09-22,39,112.0,84
317,311.54,12,14,1983-08-18,34,108.0,69
318,344.36,10,14,1976-06-13,41,103.0,80
319,530.88,16,14,1975-12-20,25,106.0,72
320,1756.61,17,13,1980-04-11,22,104.0,77
321,1768.34,20,10,1982-04-03,45,137.0,80
322,614.96,14,6,1981-12-24,42,102.0,77
323,306.97,12,9,1977-12-07,6,97.0,88
324,359.48,10,8,1977-09-09,20,123.0,75
325,578.88,13,4,1983-01-16,55,74.0,98
326,109.5,6,9,1976-07-14,28,90.0,72
327,243.65,7,13,1977-06-22,6,121.0,75
328,2257.65,16,11,1977-03-02,26,106.0,91
329,484.95,14,9,1976-07-03,42,105.0,85
330,194.17,11,11,1983-07-17,21,120.0,100
331,170.92,12,7,1983-12-19,27,96.0,85
332,530.62,10,12,1979-02-05,18,86.0,77
333,397.5,13,11,1977-10-21,36,109.0,74
334,203.87,7,4,1974-09-19,18,100.0,82
335,658.77,16,8,1976-11-16,34,103.0,83
336,1293.72,17,9,1978-02-23,12,103.0,82
337,289.16,13,10,1983-01-06,29,155.0,96
338,280.08,11,8,1983-07-01,6,116.0,84
339,231.6,14,9,1976-04-06,34,93.0,89
340,179.75,6,6,1975-05-03,36,123.0,73
341,1378.15,21,7,1976-04-15,51,106.0,80
342,917.65,16,12,1976-02-08,17,93.0,81
343,4827.5,22,6,1982-08-23,45,126.0,82
344,773.7,17,6,1974-03-26,41,123.0,86
345,159.34,7,12,1979-05-05,29,101.0,88
346,282.67,12,10,1978-11-16,17,110.0,94
347,153.28,9,4,1974-04-14,53,99.0,78
348,1263.05,14,11,1976-07-28,17,111.0,76
349,232.42,8,12,1982-11-07,4,101.0,84
350,258.45,12,9,1982-03-04,37,105.0,84
351,79.86,13,8,1977-07-22,32,63.0,89
352,116.88,10,13,1979-10-09,28,88.0,91
353,518.78,13,4,1977-02-07,39,121.0,74
354,189.48,6,5,1981-12-08,29,72.0,83
355,184.08,9,5,1983-12-12,39,85.0,81
356,248.12,8,7,1980-05-25,13,82.0,76
357,262.16,8,16,1981-02-25,48,81.0,60
358,586.5,13,9,1975-05-13,13,106.0,85
359,2540.69,19,12,1983-05-06,36,72.0,75
360,205.77,10,7,1980-05-07,6,86.0,62
361,1591.25,19,7,1980-04-06,13,108.0,84
362,435.06,11,13,1983-03-22,21,96.0,77
363,153.43,12,10,1974-10-07,55,97.0,81
364,1922.53,20,14,1983-07-01,29,93.0,91
365,133.13,8,7,1975-01-27,26,90.0,63
366,497.24,10,8,1977-11-23,25,102.0,74
367,310.12,7,7,1980-11-18,47,92.0,93
368,579.43,11,8,1975-09-26,42,95.0,79
369,920.95,16,10,1983-02-26,6,123.0,79
370,973.99,16,8,1974-02-15,12,105.0,77
371,197.51,11,10,1977-04-03,6,79.0,74
372,132.69,8,9,1982-02-21,5,102.0,93
373,1678.48,16,4,1974-02-28,25,86.0,95
374,219.34,8,2,1974-05-15,36,88.0,84
375,123.79,10,10,1981-09-09,12,111.0,76
376,319.59,12,13,1975-06-19,53,84.0,85
377,445.01,15,15,1975-11-09,29,98.0,105
378,193.43,12,7,1980-03-25,1,108.0,85
379,267.74,9,9,1979-05-24,5,81.0,94
380,464.07,19,9,1983-04-21,39,101.0,76
381,353.38,17,11,1980-06-10,42,118.0,91
382,187.11,12,11,1980-08-08,37,97.0,85
383,545.03,14,18,1974-08-25,24,109.0,73
384,142.54,10,10,1976-10-08,54,113.0,80
385,257.89,9,15,1980-10-31,16,114.0,83
386,364.07,16,15,1981-07-06,26,108.0,72
387,643.17,9,8,1981-05-07,39,100.0,85
388,1598.81,19,14,1982-07-14,45,83.0,82
389,799.28,11,8,1981-02-17,27,86.0,87
390,295.53,17,9,1978-07-20,55,109.0,61
391,1085.45,16,19,1975-01-02,51,89.0,82
392,293.05,13,8,1976-03-02,10,107.0,74
393,601.71,14,11,1982-07-25,42,85.0,73
394,142.61,7,12,1976-07-04,12,89.0,80
395,194.73,14,3,1983-02-05,6,86.0,61
396,532.27,7,6,1974-06-05,42,114.0,83
397,175.98,9,7,1979-09-01,16,104.0,70
398,229.6,12,11,1981-07-31,54,81.0,77
399,319.59,11,18,1975-02-13,42,90.0,85
400,530.72,16,15,1980-07-26,30,115.0,84
401,479.51,14,11,1974-03-21,33,84.0,82
402,751.09,14,14,1974-06-10,53,122.0,68
403,478.07,12,8,1976-02-29,51,101.0,75
404,1261.0,15,14,1981-03-11,36,103.0,70
405,3415.58,17,14,1983-01-04,6,96.0,80
406,116.14,8,7,1981-02-01,26,89.0,77
407,881.34,15,5,1974-02-20,26,90.0,77
408,750.05,10,13,1979-06-26,45,103.0,87
409,2468.25,18,11,1975-01-15,6,83.0,93
410,1056.0,17,8,1980-06-18,17,133.0,70
411,121.92,8,11,1974-01-21,55,85.0,69
412,2073.91,13,11,1977-02-03,6,119.0,73
413,465.0,16,9,1982-03-06,49,88.0,83
414,637.04,11,14,1982-12-02,17,86.0,74
415,748.41,16,11,1980-10-26,26,117.0,88
416,332.17,11,9,1981-02-21,19,107.0,78
417,597.46,13,7,1983-09-03,28,98.0,80
418,427.75,19,14,1980-06-30,36,96.0,79
419,316.2,11,15,1978-01-29,29,83.0,79
420,1532.9,19,14,1980-03-25,6,101.0,66
421,892.14,18,11,1980-02-24,36,100.0,75
422,451.08,14,11,1977-07-22,37,75.0,82
423,369.36,13,15,1978-05-04,25,77.0,100
424,695.59,14,7,1977-06-17,28,106.0,95
425,837.98,15,8,1982-05-28,9,108.0,76
426,1929.51,19,11,1976-09-26,36,126.0,87
427,285.02,7,11,1979-07-07,34,102.0,73
428,697.43,12,11,1977-03-16,42,118.0,73
429,331.81,13,10,1982-04-18,39,105.0,87
430,960.88,9,12,1983-10-27,22,77.0,61
431,3229.6,24,15,1982-10-12,39,100.0,77
432,200.68,10,10,1977-06-01,36,83.0,83
433,1096.13,18,16,1978-07-30,56,104.0,86
434,1142.94,13,18,1979-11-17,17,91.0,82
435,187.33,11,9,1977-03-16,33,113.0,87
436,502.11,21,10,1983-12-20,1,86.0,74
437,325.42,12,8,1974-07-17,42,84.0,80
438,404.43,15,9,1977-10-13,35,78.0,79
439,745.58,12,3,1974-07-03,39,133.0,83
440,597.46,13,10,1974-07-30,18,111.0,76
441,433.42,11,14,1978-03-25,48,115.0,79
442,728.66,14,12,1975-02-07,55,105.0,78
443,514.72,6,8,1982-10-08,4,110.0,74
444,441.36,16,11,1980-01-15,42,121.0,74
445,1601.48,19,9,1974-03-09,34,105.0,69
446,167.05,11,8,1980-01-01,36,85.0,60
447,1812.76,17,13,1979-04-20,48,131.0,92
448,697.79,13,9,1980-01-29,6,86.0,82
449,1415.84,17,13,1980-11-05,34,106.0,83
450,135.71,7,6,1976-09-10,42,97.0,78
451,463.86,9,12,1980-02-15,19,132.0,86
452,849.03,12,13,1979-01-28,6,90.0,96
453,493.77,13,9,1979-09-09,55,83.0,81
454,1644.09,15,14,1979-09-28,34,105.0,89
455,140.5,7,19,1981-02-27,34,115.0,65
456,241.13,16,4,1978-01-13,42,90.0,76
457,381.2,15,12,1982-02-24,8,116.0,74
458,219.3,10,8,1974-03-20,39,98.0,87
459,121.97,5,6,1976-10-15,40,108.0,73
460,283.33,14,13,1983-05-20,15,85.0,94
461,524.01,11,15,1979-11-04,26,109.0,73
462,214.96,10,10,1976-07-03,36,101.0,76
463,311.92,12,8,1974-12-20,26,119.0,79
464,310.81,14,9,1976-12-21,42,89.0,85
465,164.99,13,10,1976-05-04,45,97.0,102
466,345.04,14,14,1982-12-25,20,88.0,65
467,510.59,13,2,1979-04-07,6,76.0,90
468,1852.26,18,11,1982-06-11,26,103.0,76
469,2820.19,20,10,1983-12-02,55,111.0,83
470,95.94,11,6,1980-09-20,27,88.0,101
471,537.91,9,14,1983-06-18,36,85.0,73
472,329.11,13,15,1975-02-20,55,98.0,83
473,140.84,9,12,1974-10-26,48,74.0,75
474,514.09,13,10,1976-10-11,6,122.0,86
475,735.42,17,7,1975-05-16,42,119.0,91
476,261.42,11,8,1977-04-27,26,100.0,79
477,178.77,8,12,1980-12-21,6,88.0,85
478,317.72,8,10,1977-05-23,42,92.0,72
479,432.99,6,13,1977-06-13,38,103.0,89
480,971.15,13,12,1979-12-07,17,117.0,102
481,808.6,11,9,1976-02-17,13,77.0,92
482,1608.89,17,7,1981-11-05,39,109.0,85
483,151.08,12,12,1978-06-06,42,91.0,65
484,881.56,15,11,1974-10-23,26,102.0,78
485,859.31,14,14,1979-06-28,51,91.0,76
486,617.85,16,11,1975-03-18,51,113.0,73
487,365.39,15,8,1982-12-12,34,98.0,83
488,954.99,10,9,1976-02-07,47,139.0,86
489,299.79,9,8,1979-06-07,31,112.0,80
490,322.36,13,10,1977-09-07,48,112.0,69
491,345.16,12,6,1980-01-24,23,90.0,83
492,106.66,9,11,1979-03-04,17,94.0,74
493,568.29,15,12,1977-12-17,9,94.0,81
494,449.59,14,10,1975-09-02,18,52.0,85
495,2909.33,23,12,1983-08-12,36,114.0,66
496,1301.93,18,14,1981-10-29,36,83.0,71
497,317.71,10,10,1978-03-09,6,103.0,84
498,995.0,11,16,1975-10-22,25,113.0,73
499,154.79,11,13,1983-03-04,13,113.0,91
500,155.95,7,10,1978-11-24,25,99.0,91
501,228.07,9,17,1976-10-16,39,95.0,65
502,1075.39,16,20,1977-01-03,26,111.0,63
503,128.05,13,13,1979-08-31,27,85.0,119
504,379.12,10,9,1983-01-15,47,89.0,76
505,81.18,12,10,1983-09-29,29,101.0,92
506,1030.3,11,5,1981-11-01,54,104.0,88
507,1467.4,14,8,1983-10-10,39,80.0,90
508,2772.0,21,8,1979-11-14,36,97.0,75
509,729.8,8,8,1982-07-28,25,109.0,77
510,440.75,9,7,1976-07-14,18,124.0,85
511,129.11,9,8,1975-09-29,36,69.0,81
512,522.01,11,6,1974-03-28,17,129.0,76
513,844.56,19,11,1982-08-18,37,122.0,83
514,1399.15,11,7,1983-04-01,6,133.0,88
515,220.57,10,8,1974-08-29,23,89.0,66
516,582.62,14,10,1982-04-30,48,101.0,78
517,798.58,12,15,1983-10-17,42,98.0,76
518,296.64,9,12,1977-09-10,17,124.0,72
519,124.81,12,10,1974-10-03,53,93.0,96
520,686.54,17,9,1976-04-10,20,104.0,74
521,289.4,15,10,1976-10-01,55,118.0,78
522,324.32,7,8,1980-02-14,6,80.0,79
523,1404.56,16,10,1976-03-03,17,108.0,75
524,358.33,12,12,1977-10-26,48,90.0,79
525,98.9,9,8,1977-10-16,24,93.0,75
526,763.07,13,7,1975-04-01,9,109.0,73
527,1051.98,17,7,1977-10-18,21,105.0,80
528,997.54,17,8,1974-07-05,6,105.0,82
529,96.49,10,9,1982-05-11,39,92.0,82
530,1410.55,16,6,1980-06-05,42,141.0,65
531,895.9,12,12,1975-08-08,53,83.0,63
532,349.6,14,5,1975-04-10,51,123.0,78
533,1069.36,17,17,1975-07-22,6,77.0,73
534,166.76,11,9,1978-04-08,37,79.0,85
535,1530.96,15,14,1979-06-28,6,98.0,79
536,1493.47,20,8,1981-10-15,42,106.0,94
537,1927.33,17,11,1975-11-05,6,104.0,82
538,233.34,9,15,1977-07-26,49,63.0,84
539,1396.23,18,12,1975-08-12,48,126.0,95
540,178.98,12,6,1978-07-04,12,72.0,60
541,307.76,14,15,1982-07-12,20,126.0,81
542,565.72,15,7,1976-06-02,25,90.0,79
543,419.57,13,7,1975-06-18,36,88.0,63
544,1221.84,19,4,1976-01-01,33,90.0,87
545,397.82,17,15,1977-07-21,17,99.0,66
546,1219.93,19,11,1975-06-05,6,99.0,84
547,291.5,11,11,1974-09-16,10,102.0,91
548,248.03,15,6,1974-02-03,45,101.0,79
549,546.17,7,7,1974-07-01,26,124.0,70
550,610.97,14,13,1983-10-08,21,112.0,79
551,778.65,14,12,1979-09-14,36,110.0,84
552,293.96,13,12,1982-09-03,37,100.0,59
